date_trunc;current;filename;modification_timestamp
2015-09-19 17:22:04-03;t;00000001000000030000000D;2015-09-19 16:53:06-03
2015-09-19 17:22:04-03;f;00000001000000030000000E;2014-11-10 15:52:09-02
2015-09-19 17:22:04-03;f;00000001000000030000000F;2014-11-10 15:51:55-02
2015-09-19 17:22:04-03;f;000000010000000300000010;2014-11-10 15:52:02-02
2015-09-19 17:22:04-03;f;000000010000000300000011;2014-11-10 15:52:08-02
2015-09-19 17:22:04-03;f;000000010000000300000012;2014-11-11 09:44:13-02
2015-09-19 17:22:04-03;f;000000010000000300000013;2014-11-11 10:02:55-02
2015-09-19 17:22:04-03;f;000000010000000300000014;2014-11-11 10:07:26-02
2015-09-19 17:22:04-03;f;000000010000000300000015;2014-11-11 10:07:02-02
2015-09-19 17:22:04-03;f;000000010000000300000016;2014-11-11 10:07:03-02
2015-09-19 17:22:04-03;f;000000010000000300000017;2015-03-06 15:25:15-03
2015-09-19 17:22:04-03;f;000000010000000300000018;2015-07-14 09:17:46-03
2015-09-19 17:22:04-03;f;000000010000000300000019;2015-07-14 09:17:53-03
2015-09-19 17:22:04-03;f;00000001000000030000001A;2015-07-14 09:17:52-03
2015-09-19 17:22:04-03;f;00000001000000030000001B;2015-07-14 09:17:51-03
2015-09-19 17:22:04-03;f;00000001000000030000001C;2015-07-14 09:17:55-03
2015-09-19 17:22:04-03;f;00000001000000030000001D;2015-07-14 09:17:54-03
2015-09-19 17:22:04-03;f;00000001000000030000001E;2015-07-14 09:17:55-03
2015-09-19 17:22:04-03;f;00000001000000030000001F;2015-07-14 09:17:48-03
2015-09-19 17:22:04-03;f;000000010000000300000020;2015-07-14 09:17:51-03
2015-09-19 17:22:04-03;f;000000010000000300000021;2015-07-14 09:17:56-03
2015-09-19 17:22:04-03;f;000000010000000300000022;2015-07-14 09:17:52-03
2015-09-19 17:22:04-03;f;000000010000000300000023;2015-07-14 09:17:56-03
2015-09-19 17:22:04-03;f;000000010000000300000024;2015-07-14 09:17:53-03
2015-09-19 17:22:04-03;f;000000010000000300000025;2015-07-14 09:17:53-03
2015-09-19 17:22:04-03;f;000000010000000300000026;2015-07-14 09:17:54-03
2015-09-19 17:22:04-03;f;000000010000000300000027;2015-07-14 09:17:55-03
2015-09-19 17:22:04-03;f;000000010000000300000028;2015-07-14 09:17:57-03
2015-09-19 17:22:04-03;f;000000010000000300000029;2015-07-14 09:17:56-03
2015-09-19 17:22:04-03;f;00000001000000030000002A;2015-07-14 09:18:21-03
2015-09-19 17:22:04-03;f;00000001000000030000002B;2015-07-14 09:17:57-03
2015-09-19 17:22:04-03;f;00000001000000030000002C;2015-07-14 09:31:04-03
2015-09-19 17:22:04-03;f;00000001000000030000002D;2015-07-14 09:29:17-03
2015-09-19 17:22:04-03;f;00000001000000030000002E;2015-07-14 09:37:37-03
2015-09-19 17:22:14-03;t;00000001000000030000000D;2015-09-19 16:53:06-03
2015-09-19 17:22:14-03;f;00000001000000030000000E;2014-11-10 15:52:09-02
2015-09-19 17:22:14-03;f;00000001000000030000000F;2014-11-10 15:51:55-02
2015-09-19 17:22:14-03;f;000000010000000300000010;2014-11-10 15:52:02-02
2015-09-19 17:22:14-03;f;000000010000000300000011;2014-11-10 15:52:08-02
2015-09-19 17:22:14-03;f;000000010000000300000012;2014-11-11 09:44:13-02
2015-09-19 17:22:14-03;f;000000010000000300000013;2014-11-11 10:02:55-02
2015-09-19 17:22:14-03;f;000000010000000300000014;2014-11-11 10:07:26-02
2015-09-19 17:22:14-03;f;000000010000000300000015;2014-11-11 10:07:02-02
2015-09-19 17:22:14-03;f;000000010000000300000016;2014-11-11 10:07:03-02
2015-09-19 17:22:14-03;f;000000010000000300000017;2015-03-06 15:25:15-03
2015-09-19 17:22:14-03;f;000000010000000300000018;2015-07-14 09:17:46-03
2015-09-19 17:22:14-03;f;000000010000000300000019;2015-07-14 09:17:53-03
2015-09-19 17:22:14-03;f;00000001000000030000001A;2015-07-14 09:17:52-03
2015-09-19 17:22:14-03;f;00000001000000030000001B;2015-07-14 09:17:51-03
2015-09-19 17:22:14-03;f;00000001000000030000001C;2015-07-14 09:17:55-03
2015-09-19 17:22:14-03;f;00000001000000030000001D;2015-07-14 09:17:54-03
2015-09-19 17:22:14-03;f;00000001000000030000001E;2015-07-14 09:17:55-03
2015-09-19 17:22:14-03;f;00000001000000030000001F;2015-07-14 09:17:48-03
2015-09-19 17:22:14-03;f;000000010000000300000020;2015-07-14 09:17:51-03
2015-09-19 17:22:14-03;f;000000010000000300000021;2015-07-14 09:17:56-03
2015-09-19 17:22:14-03;f;000000010000000300000022;2015-07-14 09:17:52-03
2015-09-19 17:22:14-03;f;000000010000000300000023;2015-07-14 09:17:56-03
2015-09-19 17:22:14-03;f;000000010000000300000024;2015-07-14 09:17:53-03
2015-09-19 17:22:14-03;f;000000010000000300000025;2015-07-14 09:17:53-03
2015-09-19 17:22:14-03;f;000000010000000300000026;2015-07-14 09:17:54-03
2015-09-19 17:22:14-03;f;000000010000000300000027;2015-07-14 09:17:55-03
2015-09-19 17:22:14-03;f;000000010000000300000028;2015-07-14 09:17:57-03
2015-09-19 17:22:14-03;f;000000010000000300000029;2015-07-14 09:17:56-03
2015-09-19 17:22:14-03;f;00000001000000030000002A;2015-07-14 09:18:21-03
2015-09-19 17:22:14-03;f;00000001000000030000002B;2015-07-14 09:17:57-03
2015-09-19 17:22:14-03;f;00000001000000030000002C;2015-07-14 09:31:04-03
2015-09-19 17:22:14-03;f;00000001000000030000002D;2015-07-14 09:29:17-03
2015-09-19 17:22:14-03;f;00000001000000030000002E;2015-07-14 09:37:37-03
